state,model,rmse,mae,mape
NSW,ARIMA,13.77,10.89,0.8551
VIC,ARIMA,16.43,15.21,1.6253
QLD,ARIMA,41.62,29.12,2.6685
SA,ARIMA,30.47,29.44,3.3002
WA,ARIMA,45.74,35.0,3.3936
NSW,Prophet,45.69,41.89,3.2107
VIC,Prophet,42.77,38.48,4.1051
QLD,Prophet,89.71,78.51,7.3968
SA,Prophet,35.68,28.81,3.078
WA,Prophet,86.28,66.71,6.4383
NSW,Random Forest,79.19,72.83,5.5806
VIC,Random Forest,22.23,20.3,2.1674
QLD,Random Forest,16.11,14.13,1.3743
SA,Random Forest,20.86,18.96,2.0614
WA,Random Forest,41.22,30.56,2.9435
NSW,XGBoost,86.92,82.77,6.3576
VIC,XGBoost,18.56,17.86,1.912
QLD,XGBoost,27.25,24.77,2.4137
SA,XGBoost,21.97,19.46,2.1221
WA,XGBoost,31.43,26.87,2.673
NSW,TFT,143.39,121.98,11.7359
VIC,TFT,143.39,121.98,11.7359
QLD,TFT,143.39,121.98,11.7359
SA,TFT,143.39,121.98,11.7359
WA,TFT,143.39,121.98,11.7359
